severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,423,"Екопътека ""Лява река - Предела""",Родопи,Лява река,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,424,Екопътека „Каньонът на водопадите“,Родопи,Смолян,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,425,Екопътека „Торнал е Тодьо“ – с. Момчиловци,Родопи,Момчиловци,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,426,Изворите на река Въча – Меандрите на Буйновска река,Родопи,Буйново,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,427,Калдъръмената пътека – Рожен,Родопи,Рожен,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,428,Канинската екопътека – Гърмен,Родопи,Ковачевица,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,429,Маршрут гр. Батак – х. Техеран – вр. Баташки снежник,Родопи,Батак,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,430,Маршрут крепост Козник – м. Главата,Родопи,Рудозем,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,431,Маршрут с. Орехово – Дяволска дупка,Родопи,Орехово,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,432,Маршрут с. Пловдивци – с. Мочура – Циганско градище – с. Пловдивци,Родопи,Пловдивци,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,433,Маршрут с. Рибница – крепост Козник,Родопи,Рибница,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,434,Маршрут язовирна стена Доспат – СОМАТ,Родопи,Доспат,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,435,Местност Съдилището – Мочура,Родопи,Мочура,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,436,"Пещера ""Голубовица 2"" с Виа Ферата",Родопи,Кошница,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,437,Познавателен маршрут „Музей на гората”,Родопи,Батак,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,438,Природен феномен „Гергева скала”,Родопи,Бачево,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,439,Смилян – с. Змиево – местност Аламушница – с. Смилян,Родопи,Смилян,"contact email suggests Plovdiv, but record region is 'Родопи'"
high,contact_email_region_mismatch,440,Трансгранична родопска екопътека Хвойна – Ставруполи,Родопи,Хвойна,"contact email suggests Plovdiv, but record region is 'Родопи'"
