severity,category,trail_id,trail_name,region,nearest_town,details
high,synthetic_without_sources,77,"Екопътека ""Иванчова поляна""",Вършец,Вършец,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,85,"Екопъ3тека ""Римският път""",Габрово,Боженци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,97,Алея на туриста до м. Струилица – Девин,Девин,Струилица,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,101,"Екопътека ""Екот от камбанен звън"" – Рибарица",Етрополе,Етрополе,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,102,"Екопътека ""Горица""",Западна Рила,Овчарци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,103,"Екопътека ""Горица"" (Овчарченски водопад)",Западна Рила,Овчарци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,105,"Водопади ""Дуплево"", ""Скакалото"" и ""Костен камък"" - с.Орехово",Западни Родопи,село Орехово,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,106,Екопътека до Киселчовски водопад,Западни Родопи,Киселчово,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,107,Вазова екопътека,Искърско дефиле,Заселе,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,151,"""Зелената пътека"" - Бачковски манастир",Пловдив,Бачковски манастир,ai_enriched is true but metadata.sources_urls is missing
