priority_tier,importance_score,id,name,nearest_town,current_region,latitude,longitude,source_status,metadata_source_count,photo_present,attractions_count,duration,max_altitude_m,review_basis,next_action
P2,55,274,Мадарски конник,,Пловдив,43.2758,27.1189,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,275,Мазалат,,Пловдив,42.7553,25.2344,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,276,Малко Търново,,Пловдив,41.9842,27.5228,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,277,Мальовица,,Пловдив,42.2125,23.385,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,278,Марциганица,,Пловдив,41.9333,24.8833,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,279,Маслен нос,,Пловдив,42.3103,27.7811,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,280,Меандри на Арда,,Пловдив,41.6267,25.6833,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,282,Медвен,,Пловдив,42.8447,26.5514,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,283,Мелнишки пирамиди,,Пловдив,41.5303,23.4264,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,285,Минерални бани,,Пловдив,42.541236,24.817995,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,286,Мишкова нива,,Пловдив,41.9367,27.4872,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,287,Момчил юнак,,Пловдив,41.6881,24.8153,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,288,Момчилова крепост,,Пловдив,41.5475,24.8322,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,289,Невястата,,Пловдив,41.5836,24.7119,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,292,Ореляк,,Пловдив,41.5806,23.6339,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,293,Орлови скали,,Пловдив,41.6114,25.1389,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,294,Орлово око,,Пловдив,41.644444,24.348611,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,295,Парилско седло,,Пловдив,41.436111,23.673333,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,296,Пеещи скали,,Пловдив,42.775833,25.048333,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,297,Перперикон,,Пловдив,41.715278,25.473056,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
